Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2019-12-03 06:20 (EST),On Demand,Denis Morton,10,Cycling,Low Impact,10 min Warm Up Ride,2019-10-30 14:31 (EST),41,69,30%,89,13.62,2.27,54,,,
2019-12-03 06:33 (EST),On Demand,Cody Rigsby,30,Cycling,Intervals,30 min HIIT & Hills Ride,2019-11-06 12:18 (EST),203,113,40%,76,16.06,8.02,267,,,
2019-12-03 07:04 (EST),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-01 07:00 (EST),,,,,,,12,,,
2019-12-04 06:04 (EST),On Demand,Hannah Frankson,30,Cycling,Music,30 min 2000s Ride,2019-12-02 01:50 (EST),179,100,39%,79,15.88,7.93,236,,,
2019-12-04 06:34 (EST),On Demand,Hannah Frankson,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-12 02:00 (EST),,,,,,,12,,,
2019-12-05 05:46 (EST),On Demand,Robin Arzon,20,Cycling,Low Impact,20 min Low Impact Ride,2019-12-03 07:16 (EST),101,84,34%,84,14.84,4.94,133,,,
2019-12-05 06:08 (EST),On Demand,Robin Arzon,15,Cycling,Theme,15 min Move for More: Tabata Ride,2019-12-03 06:49 (EST),130,145,47%,74,17.68,4.41,171,,,
2019-12-05 06:26 (EST),On Demand,Hannah Corbin,15,Cycling,Theme,15 min Pick-Me-Up Ride,2019-11-18 08:00 (EST),75,89,36%,82,15.11,3.52,98,,,
2019-12-05 06:41 (EST),On Demand,Robin Arzon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-13 16:57 (EST),,,,,,,12,,,
2019-12-06 08:52 (EST),On Demand,Denis Morton,20,Cycling,Low Impact,20 min Low Impact Ride,2019-10-01 10:52 (EST),93,77,34%,83,14.42,4.81,122,,,
2019-12-06 09:14 (EST),On Demand,Denis Morton,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-04 11:00 (EST),,,,,,,12,,,
2019-12-07 06:17 (EST),On Demand,Christine D'Ercole,30,Cycling,Theme,30 min Holiday Ride,2019-12-05 13:35 (EST),195,108,40%,78,16.32,8.16,256,,,
2019-12-07 06:49 (EST),On Demand,Matt Wilpers,20,Cycling,Power Zone,20 min Power Zone Max Ride,2019-12-05 07:16 (EST),127,106,33%,86,15.25,5.08,168,,,
2019-12-07 07:11 (EST),On Demand,Matt Wilpers,15,Cycling,Theme,15 min Move for More: Climb Ride,2019-12-05 06:48 (EST),100,112,43%,72,16.70,4.17,132,,,
2019-12-07 07:27 (EST),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-09-13 14:18 (EST),,,,,,,12,,,
2019-12-08 15:08 (EST),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2019-12-04 11:18 (EST),156,87,33%,91,14.97,7.48,206,,,
2019-12-08 15:39 (EST),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-09-13 14:18 (EST),,,,,,,12,,,
2019-12-09 05:24 (EST),On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,2019-03-22 14:18 (EST),71,79,31%,88,13.97,3.49,93,,,
2019-12-09 05:43 (EST),On Demand,Denis Morton,20,Cycling,Power Zone,20 min FTP Test Ride,2019-12-04 11:00 (EST),216,180,47%,86,20.48,6.82,284,,,
2019-12-09 06:06 (EST),On Demand,Hannah Frankson,5,Cycling,Low Impact,5 min Cool Down Ride,2019-12-03 06:48 (EST),22,72,33%,81,13.83,1.16,29,,,
2019-12-10 08:29 (EST),On Demand,Hannah Corbin,20,Cycling,Low Impact,20 min Low Impact Ride,2019-12-09 09:17 (EST),85,71,33%,80,13.92,4.64,112,,,
2019-12-10 08:52 (EST),On Demand,Hannah Corbin,10,Stretching,Pre & Post-Ride Stretch,10 min Post-Ride Stretch,2019-11-16 08:00 (EST),,,,,,,25,,,
2019-12-11 05:52 (EST),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2019-11-15 11:17 (EST),183,102,36%,84,15.67,7.83,241,,,
2019-12-11 06:24 (EST),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-09-13 14:18 (EST),,,,,,,12,,,
2019-12-12 06:00 (EST),On Demand,Kendall Toole,45,Cycling,Intervals,45 min HIIT & Hills Ride,2019-12-07 08:47 (EST),284,105,42%,74,16.06,12.05,374,,,
2019-12-12 06:47 (EST),On Demand,Kendall Toole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-15 16:00 (EST),,,,,,,12,,,
2019-12-13 09:12 (EST),On Demand,Ally Love,20,Cycling,Low Impact,20 min Recovery Ride,2019-11-09 07:00 (EST),68,57,30%,80,12.52,4.17,89,,,
2019-12-13 09:33 (EST),On Demand,Ally Love,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-28 13:37 (EST),,,,,,,,,,
2019-12-14 06:12 (EST),On Demand,Christine D'Ercole,15,Cycling,Theme,15 min Move for More: Climb Ride,2019-12-10 06:49 (EST),97,107,39%,79,15.98,3.99,127,,,
2019-12-14 06:30 (EST),On Demand,Robin Arzon,30,Cycling,Intervals,30 min HIIT Ride,2019-12-13 12:17 (EST),204,113,40%,78,15.80,7.89,269,,,
2019-12-14 07:06 (EST),On Demand,Hannah Corbin,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2019-11-25 08:00 (EST),,,,,,,25,,,
2019-12-15 14:49 (EST),On Demand,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2019-12-05 07:45 (EST),303,112,39%,83,16.49,12.37,399,,,
2019-12-16 09:08 (EST),On Demand,Tunde Oyeneyin,20,Cycling,Theme,20 min Holiday Ride,2019-12-13 11:00 (EST),81,68,31%,85,13.54,4.51,107,,,
2019-12-16 09:29 (EST),On Demand,Tunde Oyeneyin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-14 14:29 (EST),,,,,,,12,,,
2019-12-17 10:25 (EST),On Demand,Christine D'Ercole,45,Cycling,Music,45 min 90s Ride,2019-12-16 17:19 (EST),308,114,37%,89,16.24,12.18,405,,,
