Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-01-28 06:00 (EST),Live,Ally Love,45,Cycling,Intervals,45 min Tabata Ride,2020-01-28 05:49 (EST),352,130,44%,77,17.36,13.02,463,,,
2020-01-28 06:55 (EST),On Demand,Ally Love,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-13 13:34 (EST),,,,,,,12,,,
2020-01-29 11:30 (EST),Live,Jess King,30,Cycling,Music,30 min House Ride,2020-01-29 11:19 (EST),256,142,49%,72,18.42,9.20,336,,,
2020-01-30 06:17 (EST),On Demand,Christine D'Ercole,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2020-01-22 18:19 (EST),332,123,40%,87,17.52,13.14,437,,,
2020-01-31 09:55 (EST),Live,Jess King,20,Cycling,Low Impact,20 min Low Impact Ride,2020-01-31 09:51 (EST),127,106,39%,82,16.39,5.46,167,,,
2020-02-01 06:05 (EST),On Demand,Denis Morton,15,Cycling,Music,15 min Classic Rock Ride,2020-01-31 12:00 (EST),107,119,38%,90,17.00,4.24,140,,,
2020-02-01 06:21 (EST),On Demand,Hannah Corbin,15,Cycling,Music,15 min Country Ride,2020-01-19 15:11 (EST),123,137,42%,86,18.24,4.55,162,,,
2020-02-01 06:40 (EST),On Demand,Robin Arzon,15,Cycling,Music,15 min Pop Ride,2019-12-26 08:30 (EST),140,155,46%,80,19.24,4.81,184,,,
2020-02-01 06:59 (EST),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-29 11:00 (EST),,,,,,,12,,,
2020-02-02 17:40 (EST),On Demand,Ben Alldis,10,Cycling,Climb,10 min Climb Ride,2019-12-29 05:32 (EST),91,152,49%,71,18.40,3.07,120,,,
2020-02-03 09:18 (EST),On Demand,Ally Love,20,Cycling,Theme,20 min Feel Good Ride,2020-01-29 09:51 (EST),173,145,45%,80,18.62,6.20,228,,,
2020-02-03 09:41 (EST),On Demand,Ally Love,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-13 13:34 (EST),,,,,,,12,,,
2020-02-04 06:00 (EST),Live,Ally Love,45,Cycling,Intervals,45 min Tabata Ride,2020-02-04 05:49 (EST),359,133,42%,82,17.54,13.15,473,,,
2020-02-04 06:49 (EST),On Demand,Christine D'Ercole,10,Cycling,Low Impact,10 min Cool Down Ride,2020-02-03 11:02 (EST),47,79,31%,95,14.65,2.44,62,,,
2020-02-05 11:18 (EST),On Demand,Christine D'Ercole,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2020-01-30 10:00 (EST),223,124,37%,95,17.52,8.74,293,,,
2020-02-06 06:31 (EST),On Demand,Denis Morton,45,Cycling,Theme,45 min Reset,2020-02-03 20:21 (EST),322,119,40%,83,16.90,12.68,424,,,
2020-02-06 07:18 (EST),On Demand,Denis Morton,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-05 16:29 (EST),,,,,,,12,,,
2020-02-07 09:29 (EST),On Demand,Christine D'Ercole,10,Cycling,Low Impact,10 min Low Impact Ride,2020-01-27 11:02 (EST),50,83,35%,84,14.81,2.47,65,,,
2020-02-08 06:08 (EST),On Demand,Olivia Amato,30,Cycling,Music,30 min Guns N' Roses Ride,2020-01-30 20:19 (EST),238,133,42%,83,17.81,8.90,314,,,
2020-02-08 06:39 (EST),On Demand,Ally Love,20,Cycling,Theme,20 min BHM: Black on Broadway Ride,2020-02-05 09:18 (EST),164,137,44%,80,18.18,6.06,216,,,
2020-02-09 09:43 (EST),On Demand,Ben Alldis,10,Cycling,Climb,10 min Climb Ride,2020-02-08 04:32 (EST),92,153,50%,70,19.09,3.17,121,,,
2020-02-10 15:39 (EST),On Demand,Christine D'Ercole,20,Cycling,Music,20 min 90s Pop Ride,2020-02-10 10:21 (EST),162,135,37%,97,17.92,5.97,213,,,
2020-02-10 16:02 (EST),On Demand,Leanne Hainsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-06 04:12 (EST),,,,,,,12,,,
2020-02-11 06:01 (EST),On Demand,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2020-02-06 07:49 (EST),313,116,40%,83,17.06,12.79,412,,,
2020-02-11 06:48 (EST),On Demand,Denis Morton,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-05 16:29 (EST),,,,,,,12,,,
2020-02-12 11:10 (EST),On Demand,Robin Arzon,10,Cycling,Climb,10 min Climb Ride,2019-10-31 21:15 (EST),101,168,55%,69,19.85,3.30,132,,,
2020-02-13 15:37 (EST),On Demand,Ally Love,10,Cycling,Low Impact,10 min Low Impact Ride,2020-02-11 08:31 (EST),60,101,36%,86,16.08,2.68,79,,,
2020-02-14 09:38 (EST),On Demand,Cody Rigsby,30,Cycling,Theme,"30 min XOXO, Cody",2020-02-12 12:17 (EST),237,132,42%,83,17.73,8.86,312,,,
2020-02-14 10:11 (EST),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-14 07:00 (EST),,,,,,,12,,,
2020-02-15 12:41 (EST),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2020-02-08 12:35 (EST),476,132,40%,90,18.10,18.08,627,,,
2020-02-15 13:45 (EST),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-14 03:58 (EST),,,,,,,12,,,
2020-02-16 11:25 (EST),On Demand,Robin Arzon,10,Cycling,Climb,10 min Climb Ride,2019-10-31 20:15 (EST),106,178,56%,69,20.27,3.37,140,,,
2020-02-17 09:17 (EST),On Demand,Olivia Amato,10,Strength,Core,10 min Core Strength,2020-02-04 08:31 (EST),,,,,,,49,,,
2020-02-17 09:29 (EST),On Demand,Hannah Corbin,10,Stretching,Full Body Stretch,10 min Smokey Robinson Post-Ride Stretch,2020-02-16 11:00 (EST),,,,,,,24,,,
2020-02-17 09:42 (EST),On Demand,Hannah Corbin,10,Stretching,Lower Body Stretch,10 min Foam Rolling: Hamstrings,2019-11-23 17:00 (EST),,,,,,,25,,,
2020-02-18 06:00 (EST),Live,Ally Love,45,Cycling,Intervals,45 min Tabata Ride,2020-02-18 05:47 (EST),374,139,44%,79,17.72,13.29,492,,,
2020-02-18 06:48 (EST),On Demand,Ally Love,5,Cycling,Low Impact,5 min Cool Down Ride,2020-01-04 07:00 (EST),24,80,38%,72,14.69,1.22,31,,,
2020-02-19 06:21 (EST),On Demand,Christine D'Ercole,20,Cycling,Music,20 min Classic Rock Ride,2020-02-10 10:52 (EST),155,129,42%,83,17.73,5.91,204,,,
2020-02-20 05:53 (EST),On Demand,Jess King,30,Cycling,Theme,30 min Sweat Steady Ride,2020-02-18 12:19 (EST),262,146,45%,80,18.77,9.38,345,,,
2020-02-20 06:28 (EST),On Demand,Hannah Frankson,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-18 03:23 (EST),,,,,,,12,,,
2020-02-21 09:34 (EST),On Demand,Cody Rigsby,5,Strength,Core,5 min Core Strength,2020-02-17 07:30 (EST),,,,,,,25,,,
2020-02-21 09:42 (EST),On Demand,Hannah Corbin,10,Stretching,Full Body Stretch,10 min Foam Rolling,2019-05-30 12:26 (EST),,,,,,,24,,,
2020-02-21 09:55 (EST),On Demand,Hannah Corbin,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2018-11-29 13:30 (EST),,,,,,,24,,,
2020-02-22 16:32 (EST),On Demand,Christine D'Ercole,45,Cycling,Power Zone,45 min Power Zone Ride,2020-02-19 18:22 (EST),353,131,40%,87,17.72,13.29,465,,,
2020-02-22 17:20 (EST),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-22 15:27 (EST),,,,,,,12,,,
2020-02-23 11:01 (EST),On Demand,Jennifer Jacobs,10,Cycling,Climb,10 min Climb Ride,2018-03-06 11:01 (EST),96,160,51%,70,19.35,3.21,126,,,
2020-02-24 15:16 (EST),On Demand,Tunde Oyeneyin,20,Cycling,Theme,20 min BHM: 80s Hip Hop Ride,2020-02-23 11:00 (EST),176,147,47%,75,18.62,6.20,232,,,
2020-02-24 15:40 (EST),On Demand,Jenn Sherman,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-13 15:02 (EST),,,,,,,10,,,
2020-02-25 11:18 (EST),On Demand,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2020-02-20 07:49 (EST),354,131,41%,88,18.00,13.49,466,,,
2020-02-25 12:09 (EST),On Demand,Sam Yo,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-02 06:58 (EST),,,,,,,12,,,
2020-02-26 10:14 (EST),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2020-02-19 11:17 (EST),228,127,39%,90,17.68,8.84,300,,,
2020-02-27 06:05 (EST),On Demand,Robin Arzon,30,Cycling,Music,30 min Pop Ride,2020-02-21 12:19 (EST),209,116,40%,84,16.93,8.46,275,,,
2020-02-27 06:39 (EST),On Demand,Sam Yo,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-27 03:52 (EST),,,,,,,12,,,
2020-02-27 06:45 (EST),On Demand,Jess Sims,5,Stretching,Upper Body Stretch,5 min Arms & Shoulders Stretch,2020-01-15 16:51 (EST),,,,,,,12,,,
2020-02-28 08:53 (EST),On Demand,Denis Morton,20,Cycling,Music,20 min 80s Ride,2020-02-27 08:30 (EST),141,118,40%,85,16.98,5.66,186,,,
2020-02-29 11:04 (EST),On Demand,Olivia Amato,30,Cycling,Power Zone,30 min Power Zone Ride,2020-02-24 11:19 (EST),245,136,39%,93,18.06,9.02,322,,,
2020-02-29 11:36 (EST),On Demand,Denis Morton,10,Cycling,Low Impact,10 min Cool Down Ride,2020-02-25 11:02 (EST),54,91,35%,88,15.47,2.57,72,,,
2020-03-01 05:49 (EST),On Demand,Christine D'Ercole,60,Cycling,Climb,60 min Climb Ride,2020-01-26 12:32 (EST),440,122,41%,83,17.25,17.25,579,,,
2020-03-02 10:56 (EST),On Demand,Kristin McGee,5,Meditation,Mindfulness,5 min Breathing Meditation,2020-03-01 12:29 (EST),,,,,,,,,,
2020-03-02 14:31 (EST),On Demand,Denis Morton,10,Yoga,Flow,10 min Yoga Flow,2020-01-13 16:57 (EST),,,,,,,35,,,
2020-03-02 14:44 (EST),On Demand,Denis Morton,15,Stretching,Full Body Stretch,15 min Full Body Stretch,2019-07-26 14:10 (EST),,,,,,,37,,,
2020-03-03 08:47 (EST),On Demand,Aditi Shah,10,Yoga,Yoga Anywhere,10 min Standing Yoga,2020-01-28 10:53 (EST),,,,,,,39,,,
2020-03-04 15:20 (EST),On Demand,Robin Arzon,20,Cycling,Music,20 min 80s Ride,2020-02-26 15:21 (EST),164,137,43%,83,18.18,6.05,216,,,
2020-03-04 15:40 (EST),On Demand,Robin Arzon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-10 15:33 (EST),,,,,,,12,,,
2020-03-05 05:47 (EST),On Demand,Ally Love,5,Cycling,Low Impact,5 min Warm Up Ride,2020-03-02 06:30 (EST),24,81,33%,84,14.46,1.20,32,,,
2020-03-05 05:53 (EST),On Demand,Ally Love,45,Cycling,Intervals,45 min Tabata Ride,2020-03-03 05:47 (EST),358,132,43%,79,17.35,13.01,471,,,
2020-03-05 06:39 (EST),On Demand,Olivia Amato,5,Cycling,Low Impact,5 min Cool Down Ride,2020-03-01 07:30 (EST),25,84,33%,89,14.99,1.24,33,,,
2020-03-06 15:10 (EST),On Demand,Robin Arzon,20,Cycling,Low Impact,20 min Recovery Ride,2020-03-04 07:30 (EST),84,70,32%,86,13.87,4.63,110,,,
2020-03-07 06:08 (EST),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2020-02-05 11:18 (EST),205,114,39%,84,16.85,8.43,270,,,
2020-03-07 06:40 (EST),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-03-03 08:45 (EST),,,,,,,12,,,
2020-03-08 15:41 (EST),On Demand,Olivia Amato,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2020-01-30 07:30 (EST),209,116,38%,89,17.14,8.56,276,,,
2020-03-08 16:12 (EST),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-22 15:27 (EST),,,,,,,12,,,
2020-03-09 15:32 (EST),On Demand,Hannah Corbin,30,Cycling,Theme,30 min Women of Pop Ride,2020-03-08 17:48 (EST),262,146,45%,81,18.72,9.35,345,,,
2020-03-09 16:04 (EST),On Demand,Leanne Hainsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-03-03 05:30 (EST),,,,,,,12,,,
2020-03-10 15:25 (EST),On Demand,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Ride,2020-03-05 07:48 (EST),339,126,40%,86,17.53,13.15,446,,,
2020-03-10 16:14 (EST),On Demand,Hannah Corbin,10,Stretching,Pre & Post-Ride Stretch,10 min Post-Ride Stretch,2019-11-16 08:00 (EST),,,,,,,25,,,
2020-03-11 05:44 (EST),On Demand,Hannah Corbin,5,Cycling,Low Impact,5 min Warm Up Ride,2020-02-23 14:30 (EST),16,52,31%,72,12.12,1.01,21,,,
2020-03-11 05:52 (EST),On Demand,Ally Love,45,Cycling,Intervals,45 min Tabata Ride,2020-02-25 05:48 (EST),310,115,40%,78,16.16,12.12,409,,,
2020-03-11 06:45 (EST),On Demand,Irene Scholz,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-26 12:10 (EST),,,,,,,12,,,
2020-03-12 05:55 (EST),On Demand,Denis Morton,45,Yoga,Flow,45 min Yoga Flow,2020-03-07 09:17 (EST),,,,,,,150,,,
2020-03-13 06:24 (EST),On Demand,Cody Rigsby,20,Cycling,Music,20 min Pop Ride,2020-03-04 13:30 (EST),154,129,45%,75,17.59,5.86,203,,,
2020-03-14 06:31 (EST),On Demand,Denis Morton,5,Cycling,Low Impact,5 min Warm Up Ride,2020-02-05 15:50 (EST),23,76,28%,89,13.73,1.14,30,,,
2020-03-14 06:40 (EST),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,2020-03-05 05:49 (EST),353,131,40%,86,17.62,13.21,465,,,
2020-03-14 07:27 (EST),On Demand,Hannah Frankson,10,Cycling,Low Impact,10 min Cool Down Ride,2020-03-02 06:32 (EST),46,77,35%,80,14.33,2.39,61,,,
2020-03-14 07:41 (EST),On Demand,Kendall Toole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-25 16:23 (EST),,,,,,,12,,,
2020-03-15 12:45 (EST),Live,Christine D'Ercole,60,Cycling,Climb,60 min Climb Ride,2020-03-15 12:35 (EST),565,157,45%,84,19.36,19.35,744,,,
2020-03-15 13:47 (EST),On Demand,Ally Love,5,Cycling,Low Impact,5 min Cool Down Ride,2020-03-15 07:30 (EST),30,101,40%,78,16.13,1.34,40,,,
2020-03-15 13:53 (EST),On Demand,Ally Love,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-13 13:34 (EST),,,,,,,12,,,
2020-03-16 08:49 (EST),On Demand,Robin Arzon,30,Cycling,Theme,30 min Together We Go Far Ride,2020-03-15 18:17 (EST),254,141,42%,86,18.14,9.07,334,,,
2020-03-16 09:20 (EST),On Demand,Robin Arzon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-10 15:33 (EST),,,,,,,12,,,
2020-03-17 15:15 (EST),On Demand,Christine D'Ercole,30,Cycling,Power Zone,30 min Power Zone Ride,2020-03-05 11:19 (EST),225,125,39%,88,17.34,8.67,296,,,
2020-03-18 10:55 (EST),On Demand,Jess King,10,Cycling,Low Impact,10 min Warm Up Ride,2020-01-08 13:32 (EST),68,114,39%,86,16.87,2.81,90,,,
2020-03-19 10:30 (EST),Live,Robin Arzon,30,Cycling,Theme,30 min Together We Ride,2020-03-19 10:20 (EST),254,141,43%,86,18.41,9.19,334,,,
2020-03-20 10:49 (EST),On Demand,Hannah Corbin,10,Stretching,Lower Body Stretch,10 min Foam Rolling: Glutes,2019-12-08 11:54 (EST),,,,,,,24,,,
2020-03-20 11:04 (EST),On Demand,Ross Rayburn,10,Yoga,Yoga Anywhere,10 min Standing Yoga,2020-02-03 16:22 (EST),,,,,,,29,,,
2020-03-21 15:16 (EST),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,2020-03-14 12:33 (EST),478,133,41%,85,17.86,17.86,628,,,
2020-03-21 16:18 (EST),On Demand,Leanne Hainsby,10,Cycling,Low Impact,10 min Cool Down Ride,2020-02-15 04:32 (EST),48,80,36%,75,14.41,2.40,63,,,
2020-03-22 16:31 (EST),On Demand,Rebecca Kennedy,20,Walking,Music,20 min 80s Fun Walk,2020-03-09 14:02 (EST),,,,,,,79,,,
2020-03-23 09:05 (EST),On Demand,Christine D'Ercole,30,Cycling,Music,30 min New Wave Ride,2020-03-22 14:49 (EST),228,127,40%,86,17.50,8.75,300,,,
2020-03-23 09:36 (EST),On Demand,Olivia Amato,5,Cycling,Low Impact,5 min Cool Down Ride,2020-03-01 07:30 (EST),24,81,32%,91,14.73,1.22,32,,,
2020-03-23 09:42 (EST),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-22 15:27 (EST),,,,,,,12,,,
2020-03-24 16:04 (EST),On Demand,Ben Alldis,30,Cycling,Music,30 min 80s Rock Ride,2020-03-17 05:50 (EST),252,140,43%,83,18.19,9.09,331,,,
2020-03-24 16:36 (EST),On Demand,Ben Alldis,5,Cycling,Low Impact,5 min Cool Down Ride,2020-02-28 04:17 (EST),32,106,39%,83,16.44,1.36,42,,,
2020-03-24 16:42 (EST),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-03-14 07:08 (EST),,,,,,,12,,,
2020-03-25 06:00 (EST),On Demand,Jess King,10,Cycling,Low Impact,10 min Warm Up Ride,2020-01-08 13:32 (EST),49,82,33%,88,14.54,2.42,65,,,
2020-03-26 05:49 (EST),On Demand,Olivia Amato,5,Cycling,Low Impact,5 min Warm Up Ride,2020-02-23 07:30 (EST),19,65,29%,87,13.12,1.09,26,,,
2020-03-26 05:56 (EST),On Demand,Hannah Corbin,30,Cycling,Theme,30 min You're Worth It Ride,2020-03-25 00:00 (EST),223,124,42%,81,17.26,8.62,293,,,
2020-03-26 06:29 (EST),On Demand,Jess King,20,Cycling,Music,20 min 90s Rock Ride,2020-03-13 09:19 (EST),154,128,42%,81,17.41,5.80,203,,,
2020-03-26 06:51 (EST),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-03-15 07:30 (EST),,,,,,,12,,,
2020-03-27 10:34 (EST),On Demand,Sam Yo,20,Cycling,Low Impact,20 min Recovery Ride,2020-02-04 05:52 (EST),95,79,35%,79,14.39,4.79,125,,,
2020-03-27 10:57 (EST),On Demand,Christine D'Ercole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-20 14:04 (EST),,,,,,,12,,,
2020-03-28 16:10 (EST),On Demand,Ben Alldis,30,Cycling,Music,30 min 2010s Ride,2020-03-25 07:51 (EST),257,143,43%,83,18.21,9.11,338,,,
2020-03-28 21:57 (EST),On Demand,Ross Rayburn,15,Meditation,Audio Only,15 min Sleep Meditation,2020-01-23 11:00 (EST),,,,,,,,,,
2020-03-28 22:15 (EST),On Demand,Anna Greenberg,30,Meditation,Relax & Sleep,30 min Sleep Meditation,2019-11-13 19:19 (EST),,,,,,,,,,
2020-03-29 03:52 (EST),On Demand,Kristin McGee,20,Meditation,Relax & Sleep,20 min Sleep Meditation,2020-01-12 12:10 (EST),,,,,,,,,,
2020-03-29 11:05 (EST),On Demand,Robin Arzon,45,Cycling,Theme,45 min Together We Ride,2020-03-28 11:47 (EST),362,134,43%,81,17.90,13.42,477,,,
2020-03-29 11:52 (EST),On Demand,Robin Arzon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-10 15:33 (EST),,,,,,,12,,,
2020-03-30 14:38 (EST),On Demand,Kristin McGee,10,Meditation,Relax & Sleep,10 min Relaxing Meditation,2020-03-02 20:01 (EST),,,,,,,,,,
2020-03-30 15:05 (EST),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Ride,2020-03-11 11:16 (EST),232,129,40%,86,17.46,8.73,305,,,
2020-03-30 15:37 (EST),On Demand,Jenn Sherman,15,Cycling,Music,15 min Pop Ride,2020-02-18 09:30 (EST),122,135,43%,81,17.88,4.47,160,,,
2020-03-31 14:13 (EST),On Demand,Aditi Shah,15,Meditation,Relax & Sleep,15 min Calming Meditation,2019-08-12 11:50 (EST),,,,,,,,,,
2020-03-31 16:37 (EST),On Demand,Cody Rigsby,20,Cycling,Music,20 min Pop Ride,2020-03-28 10:32 (EST),145,121,41%,80,16.87,5.62,191,,,
2020-03-31 16:58 (EST),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-03-15 07:30 (EST),,,,,,,12,,,
2020-04-01 14:07 (EST),On Demand,Anna Greenberg,10,Meditation,Mindfulness,10 min Breathing Meditation,2020-03-31 09:30 (EST),,,,,,,,,,
2020-04-01 16:41 (EST),On Demand,Jess King,30,Cycling,Low Impact,30 min Low Impact Ride,2020-03-30 09:49 (EST),192,107,40%,79,16.49,8.24,253,,,
2020-04-02 11:13 (EST),On Demand,Christine D'Ercole,10,Cycling,Low Impact,10 min Warm Up Ride,2019-11-14 16:16 (EST),57,95,34%,93,15.74,2.62,75,,,
2020-04-03 09:16 (EST),On Demand,Cody Rigsby,20,Cycling,Music,20 min 2000s Ride,2020-04-02 15:00 (EST),138,115,40%,82,16.75,5.58,181,,,
2020-04-03 09:37 (EST),On Demand,Irene Scholz,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-03-21 08:58 (EST),,,,,,,24,,,
2020-04-04 11:59 (EST),On Demand,Christine D'Ercole,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2020-02-23 12:33 (EST),448,124,40%,85,17.49,17.49,589,,,
2020-04-04 13:00 (EST),On Demand,Ally Love,5,Cycling,Low Impact,5 min Cool Down Ride,2020-03-06 07:30 (EST),24,80,38%,74,14.64,1.22,32,,,
2020-04-04 13:06 (EST),On Demand,Ally Love,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-13 13:34 (EST),,,,,,,12,,,
2020-04-05 10:47 (EST),On Demand,Denis Morton,20,Cycling,Low Impact,20 min Low Impact Ride,2020-01-07 10:52 (EST),80,67,32%,80,13.57,4.52,105,,,
2020-04-06 15:42 (EST),On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,2020-03-10 17:20 (EST),332,123,39%,82,16.46,12.34,437,,,
2020-04-07 14:34 (EST),On Demand,Anna Greenberg,10,Yoga,Yoga Anywhere,10 min Standing Yoga,2020-03-15 13:30 (EST),,,,,,,29,,,
2020-04-08 15:15 (EST),On Demand,Hannah Corbin,30,Cycling,Music,30 min Rock Ride,2020-04-03 09:48 (EST),212,118,42%,78,17.10,8.54,279,,,
2020-04-09 06:21 (EST),On Demand,Alex Toussaint,10,Cycling,Low Impact,10 min Warm Up Ride,2019-12-07 10:00 (EST),46,76,33%,84,14.06,2.34,60,,,
2020-04-09 07:10 (EST),On Demand,Ben Alldis,10,Cycling,Climb,10 min Climb Ride,2020-04-05 05:00 (EST),75,125,47%,70,17.56,2.93,98,,,
2020-04-09 07:22 (EST),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-03-14 07:08 (EST),,,,,,,12,,,
2020-04-10 09:27 (EST),On Demand,Robin Arzon,20,Cycling,Low Impact,20 min Recovery Ride,2020-03-04 07:30 (EST),79,65,30%,86,13.45,4.49,103,,,
2020-04-11 16:03 (EST),On Demand,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2020-03-12 07:48 (EST),319,118,40%,82,17.17,12.87,420,,,
2020-04-12 14:53 (EST),On Demand,Olivia Amato,20,Cycling,Music,20 min Classic Rock Ride,2020-03-29 10:31 (EST),117,98,37%,82,15.71,5.23,154,,,
2020-04-13 16:39 (EST),On Demand,Jess King,30,Cycling,Low Impact,30 min Low Impact Ride,2020-03-29 16:00 (EST),213,119,40%,83,17.21,8.59,280,,,
2020-04-14 09:19 (EST),On Demand,Kendall Toole,10,Cycling,Low Impact,10 min Cool Down Ride,2019-12-18 07:30 (EST),51,86,36%,83,15.05,2.51,67,,,
2020-04-15 06:06 (EST),On Demand,Kendall Toole,10,Cycling,Low Impact,10 min Warm Up Ride,2019-12-03 16:00 (EST),51,86,34%,87,14.99,2.50,68,,,
2020-04-16 14:58 (EST),On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,2020-03-03 17:19 (EST),382,142,46%,74,17.48,13.11,503,,,
2020-04-16 15:44 (EST),On Demand,Robin Arzon,5,Cycling,Low Impact,5 min Cool Down Ride,2020-02-18 07:30 (EST),25,84,34%,84,14.77,1.23,33,,,
2020-04-16 15:50 (EST),On Demand,Robin Arzon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-10 15:33 (EST),,,,,,,12,,,
2020-04-17 09:55 (EST),On Demand,Matt Wilpers,15,Cycling,Low Impact,15 min Low Impact Ride,2020-01-30 09:30 (EST),78,86,39%,74,15.09,3.77,102,,,
2020-04-17 10:11 (EST),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-16 20:00 (EST),,,,,,,12,,,
2020-04-18 06:09 (EST),On Demand,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Ride,2020-03-26 11:49 (EST),297,110,37%,82,15.99,11.99,392,,,
2020-04-18 06:54 (EST),On Demand,Ally Love,5,Cycling,Low Impact,5 min Cool Down Ride,2020-03-30 14:04 (EST),25,84,38%,75,14.98,1.25,33,,,
2020-04-18 07:01 (EST),On Demand,Ally Love,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-13 13:34 (EST),,,,,,,12,,,
2020-04-19 11:03 (EST),On Demand,Tunde Oyeneyin,10,Cycling,Low Impact,10 min Warm Up Ride,2019-09-20 14:31 (EST),58,98,37%,83,15.87,2.64,77,,,
2020-04-20 05:59 (EST),On Demand,Cody Rigsby,20,Cycling,Music,20 min 90s Pop Ride,2020-04-16 06:00 (EST),117,97,40%,75,15.52,5.17,153,,,
2020-04-20 06:21 (EST),On Demand,Ben Alldis,15,Cycling,Intervals,15 min HIIT Ride,2020-03-26 15:00 (EST),112,124,42%,77,16.77,4.19,147,,,
2020-04-20 06:38 (EST),On Demand,Ally Love,10,Cycling,Climb,10 min Climb Ride,2020-02-26 10:01 (EST),77,128,48%,70,17.62,2.94,101,,,
2020-04-20 06:48 (EST),On Demand,Ally Love,5,Cycling,Low Impact,5 min Cool Down Ride,2020-03-30 14:04 (EST),28,94,39%,77,15.68,1.30,37,,,
